共出现28次:	采用(9次)、利用(7次)、使用(5次)、运用(4次)、采取(3次)、
共出现27次:	获取(1次)、获得(11次)、得到(9次)、得出(3次)、取得(2次)、荣获(1次)、
共出现22次:	提出(22次)、
共出现23次:	发表(14次)、公布(3次)、宣布(2次)、报道(2次)、刊登(2次)、
共出现27次:	计算(21次)、演算(3次)、推算(1次)、推导(2次)、
共出现20次:	分析(19次)、剖析(1次)、
共出现21次:	研究(19次)、钻研(2次)
共出现18次:	发现(18次)、
共出现16次:	讨论(11次)、研讨(4次)、探讨(1次)、
共出现15次:	试验(7次)、实验(7次)、尝试(1次)、
共出现11次:	观察(12次)、察看(1次)、
共出现13次:	决定(13次)、
共出现10次:	解决(9次)、化解(1次)、
共出现8次:	组织(8次)、
共出现9次:	汇报(5次)、报告(3次)、反映(1次)、
共出现9次:	确定(9次)、
共出现8次:	参加(3次)、加入(3次)、进入(1次)、投入(1次)、
共出现8次:	认为(8次)、
共出现11次:	带领(8次)、领导(3次)、
共出现9次:	测量(8次)、测算(1次)、
共出现9次:	开展(7次)、展开(1次)、发展(1次)、
共出现14次:	研制(7次)、制造(2次)、制作(1次)、发明(2次)、制得(1次)、加工(1次)、
共出现8次:	撰写(6次)、编写(1次)、起草(1次)、
共出现8次:	根据(4次)、基于(3次)、按照(1次)
共出现6次:	表明(5次)、表达(1次)、
共出现5次:    察觉(3次)、注意(2次)、
共出现9次:	指导(7次)、指示(2次)、
共出现12次:	提供(7次)、给出(4次)、提交(1次)、
共出现13次:	建立(6次)、组建(4次)、建造(1次)、构造(1次)、创建(1次)、
共出现8次:	考虑(3次)、思考(2次)、琢磨(1次)、思索(1次)、想出(1次)
共出现8次:	引起(6次)、导致(1次)、引发(1次)
共出现3次:	处理(3次)、
共出现15次:	证明(6次)、证实(3次)、论证(4次)、验证(2次)、
共出现6次:	设计(6次)、
共出现4次:	了解(3次)、知道(1次)、
共出现6次:	成为(6次)、
共出现10次:	选择(6次)、选定(2次)、选用(1次)、选入(1次)、
共出现3次:	检验(3次)、
共出现5次:	具有(4次)、具备(1次)、
共出现6次:	比较(5次)、对照(1次)、
共出现5次:	讲课(3次)、讲学(1次)、讲授(1次)、
共出现7次:	探索(2次)、探究(2次)、探寻(1次)、探求(1次)、摸索(1次)、
共出现6次:	改进(4次)、改良(1次)、优化(1次)、
共出现3次:    改造(1次)、更改(1次)、改用(1次)、
共出现5次:	担任(4次)、任命(1次)、
共出现3次:	控制(3次)、
共出现4次:	帮助(3次)、赞助(1次)、
共出现4次:	学习(4次)、
共出现4次:	整理(4次)、
共出现4次:	完成(2次)、实现(2次)、
共出现3次:	引用(1次)、引入(1次)、引进(1次)、
共出现4次:	支持(4次)、
共出现5次:	求解(4次)、求得(1次)、
共出现4次:	达到(3次)、达成(1次)、
共出现5次:	指出(2次)、揭示(2次)、指明(1次)、
共出现5次:	建议(2次)、主张(2次)、提议(1次)、
共出现4次:	推动(2次)、推进(1次)、促进(1次)、
共出现3次:	制定(3次)、
共出现4次:	考察(3次)、参观(1次)、
共出现4次:	奠定(3次)、确立(1次)、
共出现3次:	检查(3次)、
共出现3次:	找到(3次)、
共出现3次:	查阅(3次)、
共出现3次:	判断(2次)、断定(1次)、
共出现3次:	结合(3次)、
共出现3次:	推出(3次)、
共出现3次:	开辟(2次)、开拓(1次)、
共出现7次:	说明(3次)、解释(2次)、阐释(1次)、阐述(1次)、
共出现3次:	称作(3次)、
共出现3次:	提高(2次)、提升(1次)、
共出现4次:	估计(2次)、估算(1次)、预估(1次)、
共出现3次:	总结(2次)、归纳(1次)
