delta,data,n_T,n_B,pT,pB,lift,log_lift_eps
1,data1,1,1,1.0,0.0,,13.815511557963774
1,data11,8,5,0.125,0.2,0.625,-0.4700006292652355
1,data12,5,3,0.2,0.3333333333333333,0.6000000000000001,-0.5108236237739905
1,data14,3,5,0.6666666666666666,0.2,3.333333333333333,1.2039693043373108
1,data15,3,3,0.6666666666666666,0.3333333333333333,2.0,0.6931456805633204
1,data16,6,1,0.5,1.0,0.5,-0.6931461805614453
1,data2,3,2,0.3333333333333333,0.5,0.6666666666666666,-0.4054641081106645
1,data21,3,1,0.3333333333333333,0.0,,12.716901269291665
1,data22,5,1,0.4,0.0,,12.899222326086994
1,data24,8,3,0.0,0.0,,0.0
1,data25,2,1,0.5,0.0,,13.122365377402328
1,data3,5,1,0.6,0.0,,13.304686600863562
1,data30,5,4,0.2,0.5,0.4,-0.916287731884655
1,data34,5,2,0.4,1.0,0.4,-0.91628923187678
1,data36,11,2,0.2727272727272727,1.0,0.2727272727272727,-1.2992803174698164
1,data37,4,1,0.5,1.0,0.5,-0.6931461805614453
1,data38,5,2,0.2,0.0,,12.206077645517674
1,data39,4,2,0.25,0.0,,12.429220196836383
1,data4,4,3,0.5,0.0,,13.122365377402328
1,data40,3,1,0.3333333333333333,0.0,,12.716901269291665
2,data1,1,1,1.0,0.0,,13.815511557963774
2,data11,8,5,0.125,0.4,0.3125,-1.1631453098345557
2,data12,5,3,0.8,0.3333333333333333,2.4000000000000004,0.875466987357619
2,data14,3,5,0.6666666666666666,0.6,1.1111111111111112,0.10536034899142356
2,data15,3,3,0.6666666666666666,0.6666666666666666,1.0,0.0
2,data16,6,1,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
2,data2,3,2,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893
2,data21,3,1,0.6666666666666666,0.0,,13.410046949854985
2,data22,5,1,0.6,0.0,,13.304686600863562
2,data24,8,3,0.0,0.0,,0.0
2,data25,2,1,0.5,0.0,,13.122365377402328
2,data3,5,1,0.6,1.0,0.6,-0.5108249571002128
2,data30,5,4,0.6,0.5,1.2,0.1823212234612324
2,data34,5,2,0.8,1.0,0.8,-0.2231433013144909
2,data36,11,2,0.36363636363636365,1.0,0.36363636363636365,-1.011599161681761
2,data37,4,1,0.75,1.0,0.75,-0.2876817391188363
2,data38,5,2,0.2,0.0,,12.206077645517674
2,data39,4,2,0.5,0.0,,13.122365377402328
2,data4,4,3,0.75,0.0,,13.527829818844937
2,data40,3,1,0.3333333333333333,1.0,0.3333333333333333,-1.0986102886721096
3,data1,1,1,1.0,0.0,,13.815511557963774
3,data11,8,5,0.125,0.6,0.20833333333333334,-1.568609584611123
3,data12,5,3,0.8,0.6666666666666666,1.2000000000000002,0.18232130679429845
3,data14,3,5,0.6666666666666666,0.8,0.8333333333333333,-0.18232130679429848
3,data15,3,3,0.6666666666666666,0.6666666666666666,1.0,0.0
3,data16,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452
3,data2,3,2,1.0,1.0,1.0,0.0
3,data21,3,1,1.0,0.0,,13.815511557963774
3,data22,5,1,0.6,1.0,0.6,-0.5108249571002128
3,data24,8,3,0.0,0.0,,0.0
3,data25,2,1,0.5,0.0,,13.122365377402328
3,data3,5,1,0.8,1.0,0.8,-0.2231433013144909
3,data30,5,4,0.8,0.5,1.6,0.4700028792469544
3,data34,5,2,1.0,1.0,1.0,0.0
