delta,scientist,n_T,n_B,pT,pB,lift,log_lift_eps,n_cases_context
1,何泽慧,3,1,0.6666666666666666,0.0,,13.410046949854985,2
1,冯硝,1,2,1.0,1.0,1.0,0.0,1
1,卢鹤绂,5,1,0.4,0.0,,12.899222326086994,1
1,周光召,5,2,0.2,0.0,,12.206077645517674,1
1,常翠祖,1,2,1.0,1.0,1.0,0.0,1
1,应崇福,7,2,0.2857142857142857,1.0,0.2857142857142857,-1.2527604685009932,2
1,彭桓武,8,3,0.0,0.0,,0.0,1
1,朱建士,4,1,0.5,1.0,0.5,-0.6931461805614453,1
1,李正武,6,1,0.5,1.0,0.5,-0.6931461805614453,1
1,李耀义,1,2,0.0,1.0,0.0,-13.815511557963774,1
1,潘君骅,3,3,0.6666666666666666,0.3333333333333333,2.0,0.6931456805633204,1
1,王大珩,7,1,0.5714285714285714,0.0,,13.25589652002732,2
1,程开甲,13,9,0.15384615384615385,0.3333333333333333,0.46153846153846156,-0.7731863882501064,2
1,薛其坤,7,2,0.0,1.0,0.0,-13.815511557963774,1
1,谢家麟,3,5,0.6666666666666666,0.2,3.333333333333333,1.2039693043373108,1
1,贾金锋,1,2,1.0,1.0,1.0,0.0,1
1,邓稼先,5,3,0.2,0.3333333333333333,0.6000000000000001,-0.5108236237739905,1
1,钱三强,3,1,0.6666666666666666,0.0,,13.410046949854985,2
1,钱学森,5,5,0.2,0.2,1.0,0.0,3
1,陈能宽,1,1,1.0,0.0,,13.815511557963774,1
1,高伯龙,2,2,0.5,0.5,1.0,0.0,1
1,黄昆,7,1,0.2857142857142857,0.0,,12.56275108946278,2
1,黄祖洽,2,1,0.5,0.0,,13.122365377402328,1
2,何泽慧,3,1,1.0,0.0,,13.815511557963774,2
2,冯硝,1,2,1.0,1.0,1.0,0.0,1
2,卢鹤绂,5,1,0.6,0.0,,13.304686600863562,1
2,周光召,5,2,0.2,0.0,,12.206077645517674,1
2,常翠祖,1,2,1.0,1.0,1.0,0.0,1
2,应崇福,7,2,0.5714285714285714,1.0,0.5714285714285714,-0.559615037936454,2
2,彭桓武,8,3,0.0,0.0,,0.0,1
2,朱建士,4,1,0.75,1.0,0.75,-0.2876817391188363,1
2,李正武,6,1,0.6666666666666666,1.0,0.6666666666666666,-0.4054646081087893,1
2,李耀义,1,2,0.0,1.0,0.0,-13.815511557963774,1
2,潘君骅,3,3,0.6666666666666666,0.6666666666666666,1.0,0.0,1
2,王大珩,7,1,0.5714285714285714,1.0,0.5714285714285714,-0.559615037936454,2
2,程开甲,13,9,0.3076923076923077,0.4444444444444444,0.6923076923076924,-0.36772378012806733,2
2,薛其坤,7,2,0.14285714285714285,1.0,0.14285714285714285,-1.9459041490793132,1
2,谢家麟,3,5,0.6666666666666666,0.6,1.1111111111111112,0.10536034899142356,1
2,贾金锋,1,2,1.0,1.0,1.0,0.0,1
2,邓稼先,5,3,0.8,0.3333333333333333,2.4000000000000004,0.875466987357619,1
2,钱三强,3,1,0.6666666666666666,0.0,,13.410046949854985,2
2,钱学森,5,5,0.4,0.4,1.0,0.0,3
2,陈能宽,1,1,1.0,0.0,,13.815511557963774,1
2,高伯龙,2,2,1.0,1.0,1.0,0.0,1
2,黄昆,7,1,0.42857142857142855,1.0,0.42857142857142855,-0.8472965270560925,2
2,黄祖洽,2,1,0.5,0.0,,13.122365377402328,1
3,何泽慧,3,1,1.0,0.0,,13.815511557963774,2
3,冯硝,1,2,1.0,1.0,1.0,0.0,1
3,卢鹤绂,5,1,0.6,1.0,0.6,-0.5108249571002128,1
3,周光召,5,2,0.2,0.0,,12.206077645517674,1
3,常翠祖,1,2,1.0,1.0,1.0,0.0,1
3,应崇福,7,2,0.7142857142857143,1.0,0.7142857142857143,-0.3364718366216927,2
3,彭桓武,8,3,0.0,0.0,,0.0,1
3,朱建士,4,1,1.0,1.0,1.0,0.0,1
3,李正武,6,1,0.8333333333333334,1.0,0.8333333333333334,-0.18232135679417452,1
3,李耀义,1,2,0.0,1.0,0.0,-13.815511557963774,1
3,潘君骅,3,3,0.6666666666666666,0.6666666666666666,1.0,0.0,1
3,王大珩,7,1,0.7142857142857143,1.0,0.7142857142857143,-0.3364718366216927,2
