from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('成为', '成果影响类')","('占据', '成果影响类')",1.0,0.01250507056265884,11487,143.6457455532621,11487,1
"('发表', '成果发布类')","('引起', '成果影响类')",0.3157894736842105,0.0294725748032284,10266,95.5469851357714,3422,3
"('解决', '成果影响类')","('发挥', '成果影响类')",1.0,0.004919052940875464,15439,75.94525835417629,15439,1
"('计算', '知识重构类')","('讨论', '知识协作类')",0.07407407407407407,0.02779514375466674,19382,39.905590833551905,9691,2
"('具有', '成果影响类')","('提出', '成果影响类')",1.0,0.008476192167553286,4663,39.524484077300976,4663,1
"('采用', '资源获取类')","('观察', '知识重构类')",0.09090909090909091,0.02441567013389126,16609,36.865442295799994,977,17
"('证明', '成果影响类')","('带领', '知识协作类')",0.25,0.007710854366469963,11024,21.251114633991218,52,212
"('改进', '知识重构类')","('采用', '资源获取类')",0.1666666666666667,0.008115793960404283,14246,19.269600126653245,419,34
"('确定', '知识规划类')","('建议', '知识规划类')",0.1666666666666667,0.007266832669061547,15498,18.770228784185978,18,861
"('提供', '资源获取类')","('确定', '知识规划类')",0.25,0.004657430347522203,15040,17.51193810668348,16,940
"('总结', '知识整合类')","('改进', '知识重构类')",0.3333333333333333,0.006992887725374415,7293,16.9997100603852,187,39
"('获取', '成果影响类')","('总结', '知识整合类')",0.5,0.008125997940467613,4136,16.804563740887023,88,47
"('建立', '知识重构类')","('计算', '知识重构类')",0.1666666666666667,0.006411862276883922,15591,16.661224126482875,5197,3
"('提出', '成果发布类')","('获取', '成果发布类')",0.4,0.006582023508916227,6138,16.160184119091124,33,186
"('推出', '知识重构类')","('根据', '资源获取类')",0.5,0.00337371375551343,9220,15.552820412916912,2,4610
"('研制', '知识重构类')","('建立', '知识重构类')",0.1,0.01001666154722395,15201,15.226327217935125,5067,3
"('采用', '资源获取类')","('决定', '知识规划类')",0.09090909090909091,0.02441567013389126,6839,15.17988800415294,977,7
"('根据', '资源获取类')","('提供', '知识重构类')",0.1428571428571428,0.006838384928988092,15075,14.726950400642204,5,3015
"('比较', '知识重构类')","('证明', '知识重构类')",0.5,0.004500189300795652,6540,14.715619013601783,545,12
"('观察', '知识重构类')","('撰写', '成果发布类')",0.07692307692307693,0.01533673811436619,12402,14.631248161105345,1378,9
"('撰写', '成果发布类')","('发表', '成果发布类')",0.2,0.005503276494485064,12640,13.912282978058242,1580,8
"('判断', '知识重构类')","('解决', '成果影响类')",0.3333333333333333,0.003800319407079613,10890,13.795159447698994,10890,1
