from,to,prob,pagerank_from,spc_original,spc_weighted,forward_from_sources,backward_to_sinks
"('证明', '成果影响类')","('带领', '知识协作类')",0.3333333333333333,0.009839035508182959,1390,4.558753118791437,695,2
"('比较', '知识重构类')","('证明', '知识重构类')",0.5,0.005736672988691282,1540,4.417238201292287,154,10
"('采用', '资源获取类')","('计算', '知识重构类')",0.2,0.01860746576339386,1136,4.227616221443085,16,71
"('计算', '知识重构类')","('分析', '知识重构类')",0.07142857142857142,0.02254027856388445,2220,3.5742441722731053,60,37
"('下降', '知识重构类')","('察觉', '知识重构类')",1.0,0.003269435872884389,792,2.589393211324436,1,792
"('带领', '知识协作类')","('研究', '知识重构类')",0.2857142857142857,0.0114981920841804,782,2.569024631379735,782,1
"('察觉', '知识重构类')","('根据', '资源获取类')",0.5,0.004226525621297307,1132,2.392213501654276,2,566
"('发现', '知识重构类')","('计算', '知识重构类')",0.125,0.01213144399159939,1562,2.368664439359781,22,71
"('计算', '知识重构类')","('撰写', '成果发布类')",0.1428571428571428,0.02254027856388445,720,2.3184286522852564,60,12
"('分析', '知识重构类')","('探索', '知识重构类')",0.2222222222222222,0.01017387537062483,1020,2.3060784173416278,68,15
"('达到', '知识重构类')","('下降', '知识重构类')",1.0,0.00288207499024412,792,2.282603392273343,1,792
"('证明', '成果影响类')","('确保', '成果影响类')",0.3333333333333333,0.009839035508182959,695,2.2793765593957187,695,1
"('提出', '成果发布类')","('证明', '成果影响类')",0.25,0.00791607591644071,1131,2.2382704653736107,377,3
"('组织', '知识协作类')","('建立', '知识规划类')",0.5,0.006936301961528997,630,2.184935117881634,70,9
"('试验', '知识重构类')","('发现', '知识重构类')",0.1111111111111111,0.01427454591026196,1343,2.1300794619424233,17,79
"('根据', '资源获取类')","('提供', '知识重构类')",0.25,0.006781128445700324,1144,1.9394027354702925,4,286
"('接受', '资源获取类')","('达到', '知识重构类')",1.0,0.002426356304786546,792,1.9216741933909445,1,792
"('设计', '知识重构类')","('试验', '知识重构类')",0.5,0.006334917162956199,594,1.881470397397991,6,99
"('发表', '成果发布类')","('引起', '成果影响类')",0.3076923076923077,0.02672742961050147,222,1.825689038009639,222,1
"('测量', '知识重构类')","('观察', '知识重构类')",0.1666666666666667,0.01302600517106108,822,1.7845627084353686,822,1
"('讨论', '知识协作类')","('证明', '成果影响类')",0.1666666666666667,0.01156853517533936,903,1.7410645438885743,301,3
"('称作', '成果影响类')","('成为', '成果影响类')",1.0,0.00381345684677455,441,1.6817344694275767,441,1
"('研究', '知识重构类')","('测量', '知识重构类')",0.08333333333333333,0.02382443422386061,816,1.6200615272225214,816,1
"('证明', '知识重构类')","('提出', '成果发布类')",0.2,0.007330717707421594,1095,1.6054271779253293,219,5
"('获取', '知识重构类')","('发表', '成果发布类')",0.2857142857142857,0.01323151672386567,396,1.4970516064716584,66,6
"('推出', '知识重构类')","('根据', '资源获取类')",1.0,0.002546619765388363,566,1.4413867872098134,1,566
"('指导', '知识协作类')","('试验', '知识重构类')",0.3333333333333333,0.005134983967632521,792,1.3556357674549855,8,99
"('计算', '知识重构类')","('获取', '知识重构类')",0.1428571428571428,0.02254027856388445,420,1.3524167138330663,60,7
"('带领', '知识协作类')","('建立', '知识重构类')",0.1428571428571428,0.0114981920841804,782,1.284512315689867,782,1
"('总结', '知识整合类')","('发表', '成果发布类')",0.5,0.006082569361466449,396,1.2043487335703569,66,6
"('获取', '成果发布类')","('通过', '成果影响类')",0.5,0.006297675031664463,380,1.196558256016248,380,1
"('开展', '知识重构类')","('提出', '知识重构类')",0.4,0.008232590814310863,361,1.1887861135864888,361,1
"('改进', '知识重构类')","('确定', '知识规划类')",0.3333333333333333,0.006890391157133423,508,1.166772902607926,2,254
"('根据', '资源获取类')","('指导', '知识协作类')",0.25,0.006781128445700324,688,1.1663540926604556,4,172
"('研制', '知识重构类')","('建立', '知识重构类')",0.2,0.007822624072212651,742,1.1608774123163574,742,1
"('考察', '知识整合类')","('推出', '知识重构类')",1.0,0.00203170309908193,566,1.1499439540803724,1,566
"('提供', '知识重构类')","('指导', '知识协作类')",0.3333333333333333,0.004956263547888952,688,1.1366364403158662,4,172
"('探索', '知识重构类')","('比较', '知识重构类')",0.25,0.005193086608099977,850,1.1035309042212451,85,10
"('说明', '知识重构类')","('研制', '知识重构类')",0.3333333333333333,0.004665800270779425,700,1.0886867298485325,700,1
"('确定', '知识规划类')","('采用', '知识重构类')",0.5,0.004183384743855778,500,1.0458461859639445,2,250
"('指导', '知识协作类')","('计算', '知识重构类')",0.3333333333333333,0.005134983967632521,568,0.9722236312050906,8,71
"('计算', '知识重构类')","('证明', '知识重构类')",0.07142857142857142,0.02254027856388445,600,0.9660119384521907,60,10
"('采用', '知识重构类')","('解决', '知识重构类')",0.3333333333333333,0.005875362280388962,492,0.9635594139837897,2,246
"('证明', '知识重构类')","('讨论', '知识协作类')",0.2,0.007330717707421594,657,0.9632563067551975,219,3
"('察觉', '知识重构类')","('汇报', '知识协作类')",0.5,0.004226525621297307,452,0.9551947904131914,2,226
"('借助', '资源获取类')","('改进', '知识重构类')",1.0,0.002915888052150717,326,0.9505795050011338,1,326
"('提出', '知识重构类')","('说明', '知识重构类')",0.2,0.007111827395592184,661,0.9401835816972869,661,1
"('解决', '知识重构类')","('检查', '知识重构类')",0.5,0.003773324034756523,484,0.9131444164110786,2,242
"('掌握', '知识整合类')","('改进', '知识重构类')",1.0,0.002640073674556901,326,0.8606640179055497,1,326
"('平衡', '知识重构类')","('借助', '资源获取类')",1.0,0.002466136377613125,326,0.8039604591018787,1,326
"('组装', '知识重构类')","('产生', '知识重构类')",1.0,0.002517257724644727,314,0.7904189255384444,2,157
"('分析', '知识重构类')","('比较', '知识重构类')",0.1111111111111111,0.01017387537062483,680,0.7686928057805427,68,10
"('分析', '知识重构类')","('组织', '知识协作类')",0.1111111111111111,0.01017387537062483,680,0.7686928057805427,68,10
"('提出', '成果发布类')","('解决', '成果影响类')",0.25,0.00791607591644071,377,0.7460901551245369,377,1
"('提出', '成果发布类')","('获取', '成果发布类')",0.25,0.00791607591644071,377,0.7460901551245369,377,1
"('帮助', '知识协作类')","('掌握', '知识整合类')",1.0,0.002141648874563805,326,0.6981775331078004,1,326
"('提供', '知识重构类')","('设计', '知识重构类')",0.3333333333333333,0.004956263547888952,416,0.6872685453072679,4,104
"('撰写', '成果发布类')","('讲课', '知识协作类')",0.25,0.007180129517928403,366,0.6569818508904488,61,6
"('撰写', '成果发布类')","('发表', '成果发布类')",0.25,0.007180129517928403,366,0.6569818508904488,61,6
"('建立', '知识规划类')","('提出', '成果发布类')",0.2,0.00909193742463766,360,0.6546194945739116,72,5
"('讲课', '知识协作类')","('总结', '知识整合类')",0.25,0.006917869975537107,378,0.6537387126882566,63,6
"('指出', '知识重构类')","('平衡', '知识重构类')",0.5,0.003874033521023566,326,0.6314674639268413,1,326
"('判断', '知识重构类')","('组装', '知识重构类')",0.5,0.003994319043450827,314,0.6271080898217798,2,157
"('引起', '知识重构类')","('采用', '资源获取类')",0.5,0.00417863867888687,300,0.6267958018330304,4,75
"('检查', '知识重构类')","('判断', '知识重构类')",0.5,0.003613579048796415,326,0.5890133849538156,2,163
"('负责', '知识规划类')","('察觉', '知识重构类')",0.3333333333333333,0.002215881169968358,792,0.5849926288716465,1,792
"('发表', '成果影响类')","('了解', '成果影响类')",1.0,0.002567234836487287,222,0.5699261337001776,222,1
"('公认', '成果影响类')","('成为', '成果影响类')",1.0,0.002567234836487287,222,0.5699261337001776,222,1
"('支持', '资源获取类')","('参加', '知识重构类')",1.0,0.003156460256664933,178,0.561849925686358,1,178
"('探索', '知识重构类')","('提出', '成果发布类')",0.25,0.005193086608099977,425,0.5517654521106226,85,5
"('配备', '资源获取类')","('支持', '资源获取类')",1.0,0.002749162500572696,178,0.4893509251019399,1,178
"('激发', '知识协作类')","('采用', '资源获取类')",1.0,0.002150654488217127,225,0.48389725984885357,3,75
"('根据', '资源获取类')","('计算', '知识重构类')",0.25,0.006781128445700324,284,0.481460119644723,4,71
"('结合', '资源获取类')","('计算', '知识重构类')",1.0,0.002150654488217127,213,0.45808940599024806,3,71
"('自创', '知识重构类')","('采用', '资源获取类')",1.0,0.003051094390237013,150,0.457664158535552,2,75
"('发表', '成果发布类')","('公认', '成果影响类')",0.07692307692307693,0.02672742961050147,222,0.4564222595024098,222,1
"('发表', '成果发布类')","('发表', '成果影响类')",0.07692307692307693,0.02672742961050147,222,0.4564222595024098,222,1
"('发表', '成果发布类')","('观察', '知识重构类')",0.07692307692307693,0.02672742961050147,222,0.4564222595024098,222,1
"('发表', '成果发布类')","('称作', '成果影响类')",0.07692307692307693,0.02672742961050147,222,0.4564222595024098,222,1
"('发表', '成果发布类')","('成为', '成果影响类')",0.07692307692307693,0.02672742961050147,222,0.4564222595024098,222,1
"('提高', '知识重构类')","('引起', '知识重构类')",0.5,0.003789530304752914,237,0.4490593411132203,3,79
"('引起', '成果影响类')","('索求', '成果影响类')",0.25,0.007809922952506526,222,0.4334507238641122,222,1
"('负责', '知识规划类')","('根据', '资源获取类')",0.3333333333333333,0.002215881169968358,566,0.4180629140673635,1,566
"('试验', '知识重构类')","('探索', '知识重构类')",0.1111111111111111,0.01427454591026196,255,0.40444546745742216,17,15
"('推动', '知识重构类')","('配备', '资源获取类')",1.0,0.002269988669877577,178,0.40405798323820874,1,178
"('发现', '知识重构类')","('发表', '成果发布类')",0.25,0.01213144399159939,132,0.40033765172277985,22,6
"('考虑', '知识重构类')","('提出', '知识重构类')",0.1428571428571428,0.00980201108206303,285,0.3990818797697089,285,1
"('减小', '知识重构类')","('自创', '知识重构类')",1.0,0.002625202657714463,150,0.3937803986571694,2,75
"('汇报', '知识协作类')","('提高', '知识重构类')",0.3333333333333333,0.004697584789580035,240,0.3758067831664028,3,80
"('看见', '知识重构类')","('采用', '资源获取类')",0.5,0.003321923969189873,225,0.3737164465338607,3,75
"('处理', '知识重构类')","('采用', '资源获取类')",0.5,0.004766238770697495,150,0.35746790780231213,2,75
"('汇报', '知识协作类')","('激发', '知识协作类')",0.3333333333333333,0.004697584789580035,225,0.3523188592185026,3,75
"('产生', '知识重构类')","('看见', '知识重构类')",0.5,0.004248307121261651,164,0.34836118394345533,2,82
"('汇报', '知识协作类')","('结合', '资源获取类')",0.3333333333333333,0.004697584789580035,213,0.3335285200601825,3,71
"('学习', '知识整合类')","('设计', '知识重构类')",0.3333333333333333,0.004739692971404825,208,0.32861871268406784,2,104
"('改进', '知识重构类')","('计算', '知识重构类')",0.3333333333333333,0.006890391157133423,142,0.32614518143764865,2,71
"('证明', '知识重构类')","('开展', '知识重构类')",0.2,0.007330717707421594,219,0.32108543558506586,219,1
"('证明', '知识重构类')","('称作', '成果影响类')",0.2,0.007330717707421594,219,0.32108543558506586,219,1
"('产生', '知识重构类')","('减小', '知识重构类')",0.5,0.004248307121261651,150,0.3186230340946238,2,75
"('计算', '知识重构类')","('讨论', '知识协作类')",0.07142857142857142,0.02254027856388445,180,0.28980358153565716,60,3
"('检查', '知识重构类')","('发现', '知识重构类')",0.5,0.003613579048796415,158,0.28547274485491675,2,79
"('建立', '知识规划类')","('带领', '知识协作类')",0.2,0.00909193742463766,144,0.2618477978295646,72,2
"('委托', '知识协作类')","('测验', '知识重构类')",1.0,0.002612014478164781,100,0.2612014478164781,1,100
"('表明', '知识重构类')","('分析', '知识重构类')",0.5,0.00684174220014689,74,0.25314446140543495,2,37
"('根据', '资源获取类')","('分析', '知识重构类')",0.25,0.006781128445700324,148,0.25090175249091196,4,37
"('比较', '知识整合类')","('学习', '知识整合类')",1.0,0.002149518223450527,115,0.24719459569681063,1,115
"('关注', '知识规划类')","('转化', '知识重构类')",1.0,0.001711067197660586,142,0.2429715420678032,1,142
"('参加', '知识重构类')","('试验', '知识重构类')",0.5,0.004832509441647774,99,0.23920921736156484,1,99
"('选择', '知识规划类')","('汇报', '知识协作类')",0.25,0.004194800312924486,226,0.23700621768023347,1,226
"('测验', '知识重构类')","('试验', '知识重构类')",0.5,0.004369730529919798,99,0.21630166123102998,1,99
"('出现', '知识重构类')","('委托', '知识协作类')",1.0,0.002108638055281596,100,0.21086380552815961,1,100
"('分享', '知识协作类')","('处理', '知识重构类')",1.0,0.002706002815351876,76,0.20565621396674258,1,76
"('了解', '知识重构类')","('采用', '资源获取类')",1.0,0.002665022863745049,75,0.19987671478087868,1,75
"('支持', '成果影响类')","('参加', '知识协作类')",1.0,0.002426356304786546,81,0.19653486068771023,1,81
"('计算', '知识重构类')","('考虑', '知识重构类')",0.1428571428571428,0.02254027856388445,60,0.19320238769043804,60,1
"('参加', '知识重构类')","('发现', '知识重构类')",0.5,0.004832509441647774,79,0.19088412294508708,1,79
"('完成', '成果发布类')","('表明', '知识重构类')",1.0,0.004892393058477667,38,0.18591093622215135,1,38
"('理清', '知识重构类')","('计算', '知识重构类')",1.0,0.002458350512785844,71,0.17454288640779492,1,71
"('撰写', '知识重构类')","('分享', '知识协作类')",1.0,0.002219212569612539,76,0.16866015529055295,1,76
"('观测', '知识重构类')","('发现', '知识重构类')",0.5,0.004115339402475085,79,0.16255590639776588,1,79
"('认为', '知识重构类')","('引起', '知识重构类')",0.5,0.004113920395675018,79,0.16249985562916322,1,79
"('反对', '知识重构类')","('发现', '知识重构类')",1.0,0.002028682788426057,79,0.16026594028565852,1,79
"('抽象', '知识重构类')","('计算', '知识重构类')",1.0,0.002188189043980303,71,0.1553614221226015,1,71
"('分析', '知识重构类')","('估计', '知识重构类')",0.2222222222222222,0.01017387537062483,68,0.15373856115610854,68,1
"('选择', '知识规划类')","('关注', '知识规划类')",0.25,0.004194800312924486,142,0.14891541110881926,1,142
"('指出', '知识重构类')","('处理', '知识重构类')",0.5,0.003874033521023566,76,0.1472132737988955,1,76
"('认为', '知识重构类')","('计算', '知识重构类')",0.5,0.004113920395675018,71,0.14604417404646314,1,71
"('转化', '知识重构类')","('计算', '知识重构类')",0.5,0.003855713839092955,71,0.1368778412877999,1,71
"('转化', '知识重构类')","('理清', '知识重构类')",0.5,0.003855713839092955,71,0.1368778412877999,1,71
"('建立', '知识规划类')","('建立', '知识重构类')",0.2,0.00909193742463766,72,0.1309238989147823,72,1
"('建立', '知识规划类')","('开展', '知识重构类')",0.2,0.00909193742463766,72,0.1309238989147823,72,1
"('获取', '知识重构类')","('考虑', '知识重构类')",0.1428571428571428,0.01323151672386567,66,0.12475430053930484,66,1
"('组织', '知识协作类')","('开展', '知识重构类')",0.25,0.006936301961528997,70,0.12138528432675745,70,1
"('采用', '资源获取类')","('决定', '知识规划类')",0.2,0.01860746576339386,32,0.1190877808857207,16,2
"('察觉', '知识规划类')","('试验', '知识重构类')",0.5,0.002269988669877577,99,0.11236443915894007,1,99
"('参加', '知识协作类')","('采用', '资源获取类')",0.5,0.00288207499024412,75,0.10807781213415449,1,75
"('拍摄', '知识重构类')","('分析', '知识重构类')",1.0,0.002749162500572696,37,0.10171901252118976,1,37
