from,to,prob,spc,forward_from_sources,backward_to_sinks
"('计算', '知识重构类')","('讨论', '知识协作类')",0.07407407407407407,19382,9691,2
"('采用', '资源获取类')","('观察', '知识重构类')",0.09090909090909091,16609,977,17
"('建立', '知识重构类')","('计算', '知识重构类')",0.1666666666666667,15591,5197,3
"('确定', '知识规划类')","('建议', '知识规划类')",0.1666666666666667,15498,18,861
"('解决', '成果影响类')","('发挥', '成果影响类')",1.0,15439,15439,1
"('研制', '知识重构类')","('建立', '知识重构类')",0.1,15201,5067,3
"('根据', '资源获取类')","('提供', '知识重构类')",0.1428571428571428,15075,5,3015
"('提供', '资源获取类')","('确定', '知识规划类')",0.25,15040,16,940
"('改进', '知识重构类')","('采用', '资源获取类')",0.1666666666666667,14246,419,34
"('建立', '知识规划类')","('提出', '成果发布类')",0.1428571428571428,14175,27,525
"('建议', '知识规划类')","('建立', '知识规划类')",0.2,13446,18,747
"('撰写', '成果发布类')","('发表', '成果发布类')",0.2,12640,1580,8
"('观察', '知识重构类')","('撰写', '成果发布类')",0.07692307692307693,12402,1378,9
"('设计', '知识重构类')","('提供', '资源获取类')",0.1666666666666667,12080,10,1208
"('带领', '知识协作类')","('分析', '知识重构类')",0.09090909090909091,11526,102,113
"('成为', '成果影响类')","('占据', '成果影响类')",1.0,11487,11487,1
"('观察', '知识重构类')","('发表', '成果发布类')",0.07692307692307693,11024,1378,8
"('证明', '成果影响类')","('带领', '知识协作类')",0.25,11024,52,212
"('试验', '知识重构类')","('获取', '知识重构类')",0.06666666666666667,10952,37,296
"('判断', '知识重构类')","('解决', '成果影响类')",0.3333333333333333,10890,10890,1
"('讨论', '知识协作类')","('判断', '知识重构类')",0.06666666666666667,10852,10852,1
"('讨论', '知识协作类')","('讲课', '知识协作类')",0.06666666666666667,10852,10852,1
"('发表', '成果发布类')","('引起', '成果影响类')",0.3157894736842105,10266,3422,3
"('提出', '知识规划类')","('设计', '知识重构类')",0.25,9745,5,1949
"('提供', '知识重构类')","('设计', '知识重构类')",0.25,9745,5,1949
"('计算', '知识重构类')","('研究', '知识重构类')",0.03703703703703703,9691,9691,1
"('推出', '知识重构类')","('根据', '资源获取类')",0.5,9220,2,4610
"('察觉', '知识重构类')","('根据', '资源获取类')",0.3333333333333333,9220,2,4610
"('提出', '成果发布类')","('证明', '成果影响类')",0.2,8613,33,261
"('说明', '知识重构类')","('研制', '知识重构类')",0.2,8058,2686,3
"('证明', '知识重构类')","('提出', '知识重构类')",0.1111111111111111,7651,1093,7
"('分析', '知识重构类')","('改进', '知识重构类')",0.05263157894736842,7527,193,39
"('总结', '知识整合类')","('改进', '知识重构类')",0.3333333333333333,7293,187,39
"('查阅', '知识整合类')","('提高', '知识重构类')",0.3333333333333333,7160,2,3580
"('发表', '成果发布类')","('称作', '成果影响类')",0.05263157894736842,6844,3422,2
"('采用', '资源获取类')","('决定', '知识规划类')",0.09090909090909091,6839,977,7
"('指导', '知识协作类')","('试验', '知识重构类')",0.1111111111111111,6615,15,441
"('分析', '知识重构类')","('采用', '资源获取类')",0.05263157894736842,6562,193,34
"('比较', '知识重构类')","('证明', '知识重构类')",0.5,6540,545,12
"('提高', '知识重构类')","('引起', '知识重构类')",0.3333333333333333,6382,2,3191
"('控制', '知识重构类')","('提出', '知识规划类')",0.3333333333333333,6314,2,3157
"('引起', '知识重构类')","('提出', '知识规划类')",0.5,6314,2,3157
"('认为', '知识重构类')","('采用', '资源获取类')",0.1666666666666667,6222,183,34
"('提出', '成果发布类')","('获取', '成果发布类')",0.4,6138,33,186
"('提出', '知识规划类')","('提供', '资源获取类')",0.25,6040,5,1208
"('发现', '知识重构类')","('测量', '知识重构类')",0.05882352941176471,5800,200,29
"('获取', '知识重构类')","('考虑', '知识重构类')",0.07142857142857142,5782,59,98
"('建立', '知识规划类')","('带领', '知识协作类')",0.1428571428571428,5724,27,212
"('提出', '知识重构类')","('说明', '知识重构类')",0.1,5712,1428,4
"('考虑', '知识重构类')","('发现', '知识重构类')",0.125,5320,76,70
"('学习', '知识整合类')","('研读', '知识整合类')",0.25,5145,105,49
"('完成', '成果发布类')","('表明', '知识重构类')",0.5,5130,38,135
"('达到', '知识重构类')","('下降', '知识重构类')",1.0,5071,1,5071
"('接受', '资源获取类')","('达到', '知识重构类')",1.0,5071,1,5071
"('下降', '知识重构类')","('察觉', '知识重构类')",1.0,5071,1,5071
"('负责', '知识规划类')","('察觉', '知识重构类')",0.3333333333333333,5071,1,5071
"('获取', '成果发布类')","('完成', '成果发布类')",0.25,5032,37,136
"('带领', '知识协作类')","('学习', '知识整合类')",0.09090909090909091,4998,102,49
