from,to,prob,spc,forward_from_sources,backward_to_sinks
"('计算', '知识重构类')","('分析', '知识重构类')",0.07142857142857142,2220,60,37
"('发现', '知识重构类')","('计算', '知识重构类')",0.125,1562,22,71
"('比较', '知识重构类')","('证明', '知识重构类')",0.5,1540,154,10
"('证明', '成果影响类')","('带领', '知识协作类')",0.3333333333333333,1390,695,2
"('试验', '知识重构类')","('发现', '知识重构类')",0.1111111111111111,1343,17,79
"('根据', '资源获取类')","('提供', '知识重构类')",0.25,1144,4,286
"('采用', '资源获取类')","('计算', '知识重构类')",0.2,1136,16,71
"('察觉', '知识重构类')","('根据', '资源获取类')",0.5,1132,2,566
"('提出', '成果发布类')","('证明', '成果影响类')",0.25,1131,377,3
"('证明', '知识重构类')","('提出', '成果发布类')",0.2,1095,219,5
"('分析', '知识重构类')","('探索', '知识重构类')",0.2222222222222222,1020,68,15
"('讨论', '知识协作类')","('证明', '成果影响类')",0.1666666666666667,903,301,3
"('探索', '知识重构类')","('比较', '知识重构类')",0.25,850,85,10
"('测量', '知识重构类')","('观察', '知识重构类')",0.1666666666666667,822,822,1
"('研究', '知识重构类')","('测量', '知识重构类')",0.08333333333333333,816,816,1
"('负责', '知识规划类')","('察觉', '知识重构类')",0.3333333333333333,792,1,792
"('达到', '知识重构类')","('下降', '知识重构类')",1.0,792,1,792
"('下降', '知识重构类')","('察觉', '知识重构类')",1.0,792,1,792
"('接受', '资源获取类')","('达到', '知识重构类')",1.0,792,1,792
"('指导', '知识协作类')","('试验', '知识重构类')",0.3333333333333333,792,8,99
"('带领', '知识协作类')","('建立', '知识重构类')",0.1428571428571428,782,782,1
"('带领', '知识协作类')","('研究', '知识重构类')",0.2857142857142857,782,782,1
"('研制', '知识重构类')","('建立', '知识重构类')",0.2,742,742,1
"('计算', '知识重构类')","('撰写', '成果发布类')",0.1428571428571428,720,60,12
"('说明', '知识重构类')","('研制', '知识重构类')",0.3333333333333333,700,700,1
"('证明', '成果影响类')","('确保', '成果影响类')",0.3333333333333333,695,695,1
"('提供', '知识重构类')","('指导', '知识协作类')",0.3333333333333333,688,4,172
"('根据', '资源获取类')","('指导', '知识协作类')",0.25,688,4,172
"('分析', '知识重构类')","('比较', '知识重构类')",0.1111111111111111,680,68,10
"('分析', '知识重构类')","('组织', '知识协作类')",0.1111111111111111,680,68,10
"('提出', '知识重构类')","('说明', '知识重构类')",0.2,661,661,1
"('证明', '知识重构类')","('讨论', '知识协作类')",0.2,657,219,3
"('组织', '知识协作类')","('建立', '知识规划类')",0.5,630,70,9
"('计算', '知识重构类')","('证明', '知识重构类')",0.07142857142857142,600,60,10
"('设计', '知识重构类')","('试验', '知识重构类')",0.5,594,6,99
"('指导', '知识协作类')","('计算', '知识重构类')",0.3333333333333333,568,8,71
"('考察', '知识整合类')","('推出', '知识重构类')",1.0,566,1,566
"('负责', '知识规划类')","('根据', '资源获取类')",0.3333333333333333,566,1,566
"('推出', '知识重构类')","('根据', '资源获取类')",1.0,566,1,566
"('改进', '知识重构类')","('确定', '知识规划类')",0.3333333333333333,508,2,254
"('确定', '知识规划类')","('采用', '知识重构类')",0.5,500,2,250
"('采用', '知识重构类')","('解决', '知识重构类')",0.3333333333333333,492,2,246
"('解决', '知识重构类')","('检查', '知识重构类')",0.5,484,2,242
"('察觉', '知识重构类')","('汇报', '知识协作类')",0.5,452,2,226
"('称作', '成果影响类')","('成为', '成果影响类')",1.0,441,441,1
"('探索', '知识重构类')","('提出', '成果发布类')",0.25,425,85,5
"('计算', '知识重构类')","('获取', '知识重构类')",0.1428571428571428,420,60,7
"('提供', '知识重构类')","('设计', '知识重构类')",0.3333333333333333,416,4,104
"('总结', '知识整合类')","('发表', '成果发布类')",0.5,396,66,6
"('获取', '知识重构类')","('发表', '成果发布类')",0.2857142857142857,396,66,6
"('获取', '成果发布类')","('通过', '成果影响类')",0.5,380,380,1
"('讲课', '知识协作类')","('总结', '知识整合类')",0.25,378,63,6
"('提出', '成果发布类')","('解决', '成果影响类')",0.25,377,377,1
"('提出', '成果发布类')","('获取', '成果发布类')",0.25,377,377,1
"('撰写', '成果发布类')","('讲课', '知识协作类')",0.25,366,61,6
"('撰写', '成果发布类')","('发表', '成果发布类')",0.25,366,61,6
"('开展', '知识重构类')","('提出', '知识重构类')",0.4,361,361,1
"('建立', '知识规划类')","('提出', '成果发布类')",0.2,360,72,5
"('平衡', '知识重构类')","('借助', '资源获取类')",1.0,326,1,326
"('借助', '资源获取类')","('改进', '知识重构类')",1.0,326,1,326
"('帮助', '知识协作类')","('掌握', '知识整合类')",1.0,326,1,326
"('掌握', '知识整合类')","('改进', '知识重构类')",1.0,326,1,326
"('指出', '知识重构类')","('平衡', '知识重构类')",0.5,326,1,326
"('检查', '知识重构类')","('判断', '知识重构类')",0.5,326,2,163
"('判断', '知识重构类')","('组装', '知识重构类')",0.5,314,2,157
"('组装', '知识重构类')","('产生', '知识重构类')",1.0,314,2,157
"('引起', '知识重构类')","('采用', '资源获取类')",0.5,300,4,75
"('考虑', '知识重构类')","('提出', '知识重构类')",0.1428571428571428,285,285,1
"('根据', '资源获取类')","('计算', '知识重构类')",0.25,284,4,71
"('试验', '知识重构类')","('探索', '知识重构类')",0.1111111111111111,255,17,15
"('汇报', '知识协作类')","('提高', '知识重构类')",0.3333333333333333,240,3,80
"('提高', '知识重构类')","('引起', '知识重构类')",0.5,237,3,79
"('选择', '知识规划类')","('汇报', '知识协作类')",0.25,226,1,226
"('激发', '知识协作类')","('采用', '资源获取类')",1.0,225,3,75
"('看见', '知识重构类')","('采用', '资源获取类')",0.5,225,3,75
"('汇报', '知识协作类')","('激发', '知识协作类')",0.3333333333333333,225,3,75
"('发表', '成果发布类')","('发表', '成果影响类')",0.07692307692307693,222,222,1
"('引起', '成果影响类')","('索求', '成果影响类')",0.25,222,222,1
"('发表', '成果发布类')","('称作', '成果影响类')",0.07692307692307693,222,222,1
"('发表', '成果发布类')","('成为', '成果影响类')",0.07692307692307693,222,222,1
"('发表', '成果发布类')","('观察', '知识重构类')",0.07692307692307693,222,222,1
"('发表', '成果发布类')","('公认', '成果影响类')",0.07692307692307693,222,222,1
"('公认', '成果影响类')","('成为', '成果影响类')",1.0,222,222,1
"('发表', '成果影响类')","('了解', '成果影响类')",1.0,222,222,1
"('发表', '成果发布类')","('引起', '成果影响类')",0.3076923076923077,222,222,1
"('证明', '知识重构类')","('称作', '成果影响类')",0.2,219,219,1
"('证明', '知识重构类')","('开展', '知识重构类')",0.2,219,219,1
"('结合', '资源获取类')","('计算', '知识重构类')",1.0,213,3,71
"('汇报', '知识协作类')","('结合', '资源获取类')",0.3333333333333333,213,3,71
"('学习', '知识整合类')","('设计', '知识重构类')",0.3333333333333333,208,2,104
"('计算', '知识重构类')","('讨论', '知识协作类')",0.07142857142857142,180,60,3
"('配备', '资源获取类')","('支持', '资源获取类')",1.0,178,1,178
"('支持', '资源获取类')","('参加', '知识重构类')",1.0,178,1,178
"('推动', '知识重构类')","('配备', '资源获取类')",1.0,178,1,178
"('产生', '知识重构类')","('看见', '知识重构类')",0.5,164,2,82
"('检查', '知识重构类')","('发现', '知识重构类')",0.5,158,2,79
"('自创', '知识重构类')","('采用', '资源获取类')",1.0,150,2,75
"('减小', '知识重构类')","('自创', '知识重构类')",1.0,150,2,75
